订单编号,订单日期,发货日期,快递,客户编号,客户名称,客户类型,地区编号,省份,区域,区域经理,产品编号,产品大类,产品小类,品牌,产品名称,产品属性,是否退货,金额,数量,折扣,利润
A000001,2021-04-27,2021-04-29,圆通,U14485,曾惠,公司,R00001,浙江,华东,洪光,P00755,办公,用品,Fiskars,剪刀,蓝色,,129.7,2,0.4,-60.7
A000002,2021-05-04,2021-05-10,邮政,U10165,许安,消费者,R00002,四川,西南,白德伟,P00196,办公,信封,GlobeWeis,搭扣信封,红色,,125.44,2,0.0,42.56
A000002,2021-05-04,2021-05-10,邮政,U10165,许安,消费者,R00002,四川,西南,白德伟,P00966,办公,装订,Cardinal,孔加固材料,回收,,31.92,2,0.4,4.2
A000003,2021-06-27,2021-07-02,邮政,U17170,宋良,公司,R00003,江苏,华东,洪光,P00906,办公,用品,Kleencut,开信刀,工业,,321.22,4,0.4,-27.1
A000004,2020-05-31,2020-06-02,圆通,U15730,万兰,消费者,R00004,广东,中南,范彩,P00815,办公,器具,KitchenAid,搅拌机,黑色,,1375.92,3,0.0,550.2
A000005,2019-10-27,2019-10-31,邮政,U18325,俞明,消费者,R00005,江西,华东,洪光,P00236,技术,设备,柯尼卡,打印机,红色,是,11129.58,9,0.0,3783.78
A000005,2019-10-27,2019-10-31,邮政,U18325,俞明,消费者,R00005,江西,华东,洪光,P00356,办公,装订,Ibico,订书机,实惠,是,479.92,2,0.0,172.76
A000005,2019-10-27,2019-10-31,邮政,U18325,俞明,消费者,R00005,江西,华东,洪光,P00415,家具,椅子,SAFCO,扶手椅,可调,是,8659.84,4,0.0,2684.08
A000005,2019-10-27,2019-10-31,邮政,U18325,俞明,消费者,R00005,江西,华东,洪光,P00662,办公,纸张,Green Bar,计划信息表,多色,是,588.0,5,0.0,46.9
A000005,2019-10-27,2019-10-31,邮政,U18325,俞明,消费者,R00005,江西,华东,洪光,P01605,办公,系固,Stockwell,橡皮筋,整包,是,154.28,2,0.0,33.88
